time input trueOutput measuredOutput
0 0 0 0.00190271052422954
0.01 0.00274110583232019 0 -0.000626055231981043
0.02 0.00547950652412159 -1.75430773268492e-05 -0.000244309571463822
0.03 0.00821249960453253 -5.25009317060767e-05 0.00122811263182573
0.04 0.0109373879393409 -0.000104728120937347 0.000105290088675053
0.05 0.01365148239274 -0.000174062212330909 0.00180921001879178
0.06 0.0163521044811808 -0.00026032395080992 -0.00145896916439394
0.07 0.0190365890167123 -0.00036331744351341 0.000459924455717709
0.08 0.0217022867371995 -0.000482830360718371 2.04221788340353e-05
0.09 0.0243465669208259 -0.000618634152883346 0.00181061080525359
0.1 0.0269668199822981 -0.000770484283599981 -0.00311882830055131
0.11 0.0295604600481915 -0.000938120478223305 -0.000936816008333749
0.12 0.0321249275088948 -0.00112126698793604 -0.00102790093544774
0.13 0.0346576915446364 -0.00131963286898699 -0.00540702850931849
0.14 0.0371562526230972 -0.00153291227682858 0.000645424688233891
0.15 0.0396181449661477 -0.00176078477486399 0.0031422497547974
0.16 0.0420409389832733 -0.00200291565749972 -0.00240815468862698
0.17 0.0444222436692865 -0.00225895628718556 -0.0017579906849498
0.18 0.0467597089639606 -0.00252854444510997 -0.00333943225192875
0.19 0.0490510280712553 -0.00281130469520529 -0.00214054363744795
0.2 0.051293939735846 -0.00310684876110448 -0.00376977284832557
0.21 0.0534862304747099 -0.00341477591567772 -0.00359241243342901
0.22 0.0556257367615661 -0.00373467338276538 -0.000910466861002889
0.23 0.0577103471620152 -0.0040661167507113 -0.00554481184806382
0.24 0.0597380044172701 -0.00440867039728912 -0.00541377615133743
0.25 0.0617067074744217 -0.00476188792560284 -0.00489438132915487
0.26 0.0636145134612373 -0.00512531261053209 -0.00535651915541815
0.27 0.0654595396035398 -0.00549847785528224 -0.00298640859229545
0.28 0.0672399650832797 -0.00588090765758932 -0.00233568507350538
0.29 0.0689540328354617 -0.00627211708512042 -0.00797940096948904
0.3 0.0706000512821564 -0.00667161275960094 -0.00779041011856874
0.31 0.0721763960018831 -0.00707889334919164 -0.00617049193823397
0.32 0.0736815113327178 -0.0074934500686302 -0.0081578969081519
0.33 0.0751139119075438 -0.00791476718664428 -0.00443658439869852
0.34 0.0764721841199295 -0.00834232254013602 -0.00548719034357357
0.35 0.0777549875191876 -0.00877558805463122 -0.0077999160311764
0.36 0.0789610561332376 -0.00921403027048005 -0.00823029710689105
0.37 0.0800891997179679 -0.00965711087429084 -0.0102477243962641
0.38 0.0811383049318629 -0.0101042872350729 -0.00877147113923644
0.39 0.0821073364347364 -0.0105550129445603 -0.00858725483808427
0.4 0.0829953379094877 -0.0110087383611829 -0.0107616500617197
0.41 0.0838014330058708 -0.0114649111571504 -0.00809968230546879
0.42 0.0845248262053468 -0.0119229768681081 -0.0107524929070684
0.43 0.0851648036061641 -0.0123823794448235 -0.0125745598077318
0.44 0.0857207336278934 -0.0128425618063598 -0.0121951105260658
0.45 0.0861920676347216 -0.0133029663941918 -0.0113890475983092
0.46 0.0865783404768888 -0.0137630357267158 -0.0144579614446985
0.47 0.0868791709497349 -0.0142222129536092 -0.0143713732443231
0.48 0.0870942621699032 -0.0146799424094923 -0.010537774467417
0.49 0.0872234018683274 -0.0151356701663463 -0.0159628183855743
0.5 0.0872664625997165 -0.0155888445841436 -0.0139371682015888
0.51 0.0872234018683274 -0.0160389168591466 -0.0146109555279281
0.52 0.0870942621699032 -0.0164853415693359 -0.0137120642041575
0.53 0.0868791709497349 -0.0169275772164293 -0.0160095130907952
0.54 0.0865783404768888 -0.0173650867639568 -0.0216676681645627
0.55 0.0861920676347216 -0.0177973381708624 -0.0192852801271628
0.56 0.0857207336278934 -0.0182238049201067 -0.0173306581349344
0.57 0.0851648036061641 -0.018643966541747 -0.0181940644484951
0.58 0.0845248262053468 -0.0190573091299831 -0.0156321922859866
0.59 0.0838014330058708 -0.0194633258536548 -0.0170088433055919
0.6 0.0829953379094877 -0.0198615174596918 -0.0189943790139864
0.61 0.0821073364347364 -0.0202513927690171 -0.0201068261657185
0.62 0.0811383049318629 -0.0206324691644161 -0.0233350728782252
0.63 0.0800891997179679 -0.0210042730698904 -0.0177524460610532
0.64 0.0789610561332376 -0.0213663404210244 -0.0211324198374178
0.65 0.0777549875191876 -0.0217182171258993 -0.0244165006416567
0.66 0.0764721841199295 -0.0220594595161027 -0.0213032390756552
0.67 0.0751139119075438 -0.022389634787387 -0.0222099457756266
0.68 0.0736815113327178 -0.022708321429544 -0.0237037631614196
0.69 0.0721763960018831 -0.0230151096450706 -0.0221545538399416
0.7 0.0706000512821564 -0.0233096017562146 -0.0245444452639226
0.71 0.0689540328354617 -0.0235914125999976 -0.0259441601276983
0.72 0.0672399650832797 -0.0238601699108274 -0.0269220036895888
0.73 0.0654595396035398 -0.0241155146903218 -0.0247504811010053
0.74 0.0636145134612373 -0.02435710156398 -0.0254515870757496
0.75 0.0617067074744218 -0.0245845991243497 -0.0238163920130152
0.76 0.0597380044172701 -0.0247976902603519 -0.0274202937778868
0.77 0.0577103471620152 -0.0249960724724394 -0.0253595118847655
0.78 0.0556257367615661 -0.0251794581732779 -0.0278063976658099
0.79 0.0534862304747099 -0.0253475749736536 -0.0221889813773109
0.8 0.051293939735846 -0.0255001659533264 -0.0257043215975046
0.81 0.0490510280712552 -0.0256369899165608 -0.0234968515056852
0.82 0.0467597089639606 -0.025757821632084 -0.0248939828839768
0.83 0.0444222436692865 -0.0258624520572339 -0.0242766548797118
0.84 0.0420409389832734 -0.0259506885460768 -0.0279651804416012
